ticker,thesis
ITUB4,Banco sólido com histórico consistente de dividendos — renda fixa via proventos
BBDC4,Bancário com desconto histórico — adequado para perfil moderado
WEGE3,Industrial de alta qualidade com crescimento secular e margens sólidas
EGIE3,Elétrica defensiva com dividend yield elevado e receita previsível
PETR4,Exposição a commodities e hedge cambial natural
VALE3,Commodities — hedge FX e ciclo de minério de ferro
BBSE3,Seguros — receita recorrente e dividendos consistentes
RADL3,Farmácias — crescimento defensivo com expansão de rede
RENT3,Locação de veículos — crescimento secular e ativo leve
CPLE6,Elétrica paranaense — defensivo com dividendos regulares
PRIO3,Oil & Gas puro — alta exposição a variação cambial
GGBR4,Siderúrgico cíclico — para momentos de aceleração econômica
